name	state	popestimate2020	popestimate2021	npopchg2020	npopchg2021	age_median	income_median	rooms_median	value_median	rent_median	housing_total
Bergen County	New Jersey	954774	953819	-958	-955	41.9	104623	5.8	477400	1557	359097
Burlington County	New Jersey	461862	464269	2	2407	41.6	90329	6.5	259600	1388	179955
Camden County	New Jersey	523204	523771	-281	567	38.8	70957	6.0	200400	1107	206247
Cumberland County	New Jersey	153848	153627	-304	-221	37.6	55709	5.9	166400	1082	56411
Essex County	New Jersey	862032	854917	-1696	-7115	37.7	63959	5.0	395900	1211	318385
Gloucester County	New Jersey	302607	304477	313	1870	40.4	89056	6.6	224300	1258	113945
Hudson County	New Jersey	722655	702463	-2199	-20192	35.3	75062	4.1	400800	1450	284561
Hunterdon County	New Jersey	128839	129924	-108	1085	46.6	117858	7.1	418700	1443	50437
Mercer County	New Jersey	386759	385898	-581	-861	38.8	83306	5.9	290100	1311	145115
Middlesex County	New Jersey	861908	860807	-1254	-1101	39.0	91731	5.6	351400	1495	302650
Monmouth County	New Jersey	643163	645354	-452	2191	43.4	103523	6.3	435300	1437	262088
Morris County	New Jersey	509001	510981	-284	1980	42.8	117298	6.7	462100	1622	194426
Ocean County	New Jersey	638824	648998	1595	10174	42.4	72679	6.0	286700	1459	284773
Passaic County	New Jersey	523100	518117	-1018	-4983	37.3	73562	5.1	352000	1310	177216
Somerset County	New Jersey	345014	345647	-347	633	41.8	116510	6.4	436700	1636	127090
Sussex County	New Jersey	144082	145543	-139	1461	44.9	96222	6.4	271500	1337	62492
Union County	New Jersey	574349	572114	-996	-2235	38.9	82644	5.6	378700	1335	202823
Warren County	New Jersey	109595	110731	-37	1136	44.5	83497	6.3	265700	1128	45548
Bernalillo County	New Mexico	676581	674393	137	-2188	38.0	54308	5.4	205500	892	295111
Doña Ana County	New Mexico	219899	221508	338	1609	33.3	44024	5.2	153600	765	88937
Sandoval County	New Mexico	149218	151369	384	2151	40.3	65071	5.9	211700	1114	57429
San Juan County	New Mexico	121429	120993	-232	-436	36.1	47643	5.1	155000	803	51299
Santa Fe County	New Mexico	154977	155201	154	224	46.8	60668	5.2	294800	1092	73496
Albany County	New York	314368	313743	-480	-625	37.9	68327	5.6	230300	1057	142246
Bronx County	New York	1466438	1424948	-6216	-41490	34.5	41895	3.9	427900	1247	533434
Broome County	New York	198199	197240	-484	-959	39.7	52237	5.9	120200	782	91155
Chautauqua County	New York	127424	126807	-233	-617	42.8	48315	5.9	92900	675	67656
Dutchess County	New York	295742	297112	-169	1370	42.5	81842	5.9	290700	1237	121161
Erie County	New York	953254	950683	-982	-2571	40.2	59464	5.9	160700	852	429708
Jefferson County	New York	116134	116295	-587	161	32.8	54726	5.5	150100	1018	60119
Kings County	New York	2727393	2641052	-8681	-86341	35.4	63973	4.0	734800	1483	1055660
Monroe County	New York	758554	755160	-889	-3394	39.0	62087	5.9	152000	947	329105
Nassau County	New York	1393978	1390907	-1796	-3071	41.9	120036	6.6	524400	1831	473238
New York County	New York	1687834	1576876	-6417	-110958	37.7	89812	3.3	1024500	1787	884828
Niagara County	New York	212252	211653	-414	-599	43.4	57252	5.9	131600	714	100539
Oneida County	New York	231695	230274	-430	-1421	40.8	59113	5.9	133100	777	105459
Onondaga County	New York	475653	473236	-863	-2417	39.2	62668	6.0	148100	888	209068
Ontario County	New York	112475	112508	17	33	43.8	64795	6.1	163100	898	51213
Orange County	New York	401322	404525	12	3203	37.1	80816	6.0	278400	1294	144264
Oswego County	New York	117351	117387	-174	36	40.6	59070	5.9	109500	806	54622
Queens County	New York	2395791	2331143	-9673	-64648	39.3	72028	4.3	575600	1629	864790
Rensselaer County	New York	160923	160232	-207	-691	39.9	72510	5.7	197100	987	73251
Tompkins County	New York	105404	105162	-336	-242	31.3	61361	5.4	218700	1144	44019
Ulster County	New York	181687	182951	-164	1264	44.1	65306	5.6	239400	1119	85372
Richmond County	New York	495522	493494	-225	-2028	40.2	85381	5.6	546100	1379	180883
Rockland County	New York	338121	339227	-208	1106	35.9	94840	6.4	452500	1558	106621
St. Lawrence County	New York	108311	108051	-194	-260	39.0	52071	5.8	97000	715	53328
Saratoga County	New York	235689	237359	180	1670	42.9	85224	6.0	266000	1151	107192
Schenectady County	New York	157861	158089	-200	228	39.9	66488	5.6	172500	964	69885
Suffolk County	New York	1524099	1526344	-1821	2245	41.7	105362	6.4	413900	1810	576804
Westchester County	New York	1003245	997895	-1212	-5350	41.1	99489	5.3	544100	1599	376315
Alamance County	North Carolina	171842	173877	427	2035	39.1	51580	5.4	160900	822	71718
Brunswick County	North Carolina	138084	144215	1391	6131	54.7	59763	5.2	220400	984	92178
Buncombe County	North Carolina	269621	271534	169	1913	42.3	55032	5.5	250600	1019	125872
Cabarrus County	North Carolina	227065	231278	1261	4213	38.0	71177	5.8	219100	966	81102
Catawba County	North Carolina	160747	161723	137	976	41.6	54690	5.5	156200	754	69509
Craven County	North Carolina	100552	100674	-168	122	37.6	53894	5.7	161200	914	47437
Cumberland County	North Carolina	334370	335508	-358	1138	31.4	48177	5.5	139700	949	146978
Davidson County	North Carolina	169131	170637	201	1506	42.5	50454	5.5	149500	716	75465
Durham County	North Carolina	325602	326126	769	524	35.5	62812	5.3	241800	1103	139199
Forsyth County	North Carolina	382733	385523	143	2790	38.4	53583	5.5	163800	836	166765
Gaston County	North Carolina	228269	230856	326	2587	40.0	53474	5.4	156800	850	93897
Guilford County	North Carolina	541347	542410	48	1063	37.4	54794	5.5	172900	892	230065
Harnett County	North Carolina	133761	135966	193	2205	34.7	54565	5.9	160700	916	52531
Henderson County	North Carolina	116493	116829	212	336	47.6	58928	5.7	232000	915	58196
Iredell County	North Carolina	187630	191968	937	4338	40.8	62551	6.0	200800	913	75619
Johnston County	North Carolina	217612	226504	1613	8892	38.4	61806	5.8	180200	835	77575
Mecklenburg County	North Carolina	1118340	1122276	2858	3936	35.2	69240	5.6	253500	1195	455602
New Hanover County	North Carolina	226060	229018	358	2958	39.0	56689	5.3	258200	1060	113125
Onslow County	North Carolina	204735	206160	159	1425	26.5	51560	5.5	162400	1029	80247
Orange County	North Carolina	148792	148884	96	92	35.1	74803	5.7	331800	1136	58993
Pitt County	North Carolina	170570	172169	327	1599	32.7	49337	5.1	146700	793	80255
Randolph County	North Carolina	144334	145172	163	838	41.8	48984	5.5	128800	707	62670
Robeson County	North Carolina	116361	116328	-169	-33	36.7	35362	5.2	75600	647	53384
Rowan County	North Carolina	147027	148150	152	1123	40.3	51054	5.5	146600	787	62052
Union County	North Carolina	239287	243648	1020	4361	38.6	82557	6.8	254100	1078	82547
Wake County	North Carolina	1133553	1150204	4143	16651	36.4	83567	6.0	301600	1204	441720
Wayne County	North Carolina	117226	116835	-107	-391	37.6	47221	5.6	125900	784	54507
Cass County	North Dakota	184868	186562	343	1694	32.6	65976	5.2	234100	830	83604
Allen County	Ohio	102059	101670	-147	-389	39.4	51892	6.0	120300	722	45126
Butler County	Ohio	390600	390234	243	-366	36.9	69023	6.1	180200	911	152589
Clark County	Ohio	135719	135633	-282	-86	41.5	51504	5.8	120500	757	61283
Clermont County	Ohio	208635	209642	34	1007	40.2	69720	6.2	178700	868	83638
Columbiana County	Ohio	101607	101310	-270	-297	44.3	49407	5.9	105500	648	46800
Cuyahoga County	Ohio	1261696	1249387	-3121	-12309	40.4	51741	5.7	137800	830	617795
Delaware County	Ohio	215062	220740	938	5678	39.2	111411	7.3	320300	1118	74732
Fairfield County	Ohio	159357	161064	436	1707	39.6	70906	6.3	197400	899	61567
Greene County	Ohio	168025	168412	59	387	38.3	70055	6.1	180300	914	70796
Hamilton County	Ohio	829909	826139	-730	-3770	36.8	59190	5.6	163000	831	380100
Franklin County	Ohio	1324013	1321414	206	-2599	34.2	62352	5.4	185900	1002	559478
Lake County	Ohio	232410	232023	-193	-387	43.9	65814	6.2	160200	912	103212
Licking County	Ohio	178680	180401	161	1721	40.0	67736	6.1	183500	865	71034
Lorain County	Ohio	313367	315595	403	2228	41.9	58798	6.1	156400	786	131984
Lucas County	Ohio	430728	429191	-551	-1537	38.1	49946	5.8	120900	760	203586
Mahoning County	Ohio	227948	226762	-666	-1186	43.5	47092	5.9	108200	684	111292
Medina County	Ohio	182550	183092	80	542	42.5	77784	6.7	205800	903	72938
Miami County	Ohio	108821	109264	47	443	41.2	62347	6.1	155000	783	44394
Montgomery County	Ohio	536629	535840	-680	-789	39.1	53064	5.7	124900	809	254931
Portage County	Ohio	161775	162382	-16	607	38.3	59485	5.9	160300	870	69437
Richland County	Ohio	124840	125195	-96	355	41.5	49186	5.8	115100	677	54149
Stark County	Ohio	374357	373834	-496	-523	42.1	55045	6.1	139000	752	166995
Summit County	Ohio	539530	537633	-898	-1897	40.9	59253	6.0	151300	854	246163
Trumbull County	Ohio	201405	201335	-572	-70	44.4	47799	5.9	105500	684	95671
Warren County	Ohio	243004	246553	667	3549	39.6	89410	6.6	236400	1076	88418
Wayne County	Ohio	116840	116710	-54	-130	38.6	61424	6.2	156300	754	46773
Wood County	Ohio	132212	132472	-36	260	35.1	63189	6.1	165400	811	54034
Canadian County	Oklahoma	155507	161737	1102	6230	36.0	73591	5.9	170700	966	49012
Cleveland County	Oklahoma	296019	297597	491	1578	34.4	65412	5.5	170700	935	116009
Comanche County	Oklahoma	121129	122063	4	934	33.3	52377	5.4	124100	817	51665
Oklahoma County	Oklahoma	797296	798575	1004	1279	34.9	55519	5.4	157500	882	341512
Tulsa County	Oklahoma	670157	672858	878	2701	35.8	57024	5.5	160700	882	284341
Clackamas County	Oregon	422160	422537	759	377	41.7	82911	6.0	421100	1356	168828
Deschutes County	Oregon	199355	204801	1102	5446	42.4	68937	5.4	389300	1306	90802
Douglas County	Oregon	111235	111978	34	743	47.0	50031	5.5	210800	870	50649
Jackson County	Oregon	223394	223734	135	340	42.6	56327	5.3	294500	1057	96318
Lane County	Oregon	382940	383189	-31	249	39.7	54942	5.3	280000	1037	163617
Linn County	Oregon	128936	129839	326	903	39.9	59547	5.6	240200	1037	50936
Marion County	Oregon	346202	347119	282	917	36.9	61817	5.4	270300	1045	127505
Multnomah County	Oregon	815871	803377	443	-12494	37.5	71425	5.0	410800	1309	353735
Washington County	Oregon	600689	600811	317	122	36.9	86626	5.5	413500	1440	232032
Yamhill County	Oregon	107832	108239	110	407	38.6	67296	5.8	320900	1103	39504
Adams County	Pennsylvania	103795	104127	-57	332	44.0	68411	6.2	212300	932	42525
Allegheny County	Pennsylvania	1248717	1238090	-1861	-10627	40.8	62320	5.9	161600	913	602416
Beaver County	Pennsylvania	167732	166624	-483	-1108	45.1	59014	5.9	148700	729	79587
Berks County	Pennsylvania	428694	429342	-155	648	40.2	66154	6.3	187600	951	167514
Blair County	Pennsylvania	122518	121767	-304	-751	43.6	50856	6.0	128200	741	56960
Bucks County	Pennsylvania	646008	646098	-530	90	44.0	93181	6.7	340500	1252	251373
Butler County	Pennsylvania	193851	194273	88	422	43.4	72642	6.3	216900	858	84106
Cambria County	Pennsylvania	132957	132167	-515	-790	45.6	47644	6.1	94900	635	66072
Centre County	Pennsylvania	157929	157527	-243	-402	32.9	61921	5.8	242700	1019	67062
Chester County	Pennsylvania	534645	538649	232	4004	40.6	104161	7.0	369500	1354	201715
Cumberland County	Pennsylvania	259996	262919	527	2923	40.7	71979	6.2	209700	1001	107024
Dauphin County	Pennsylvania	286544	287400	143	856	39.6	63123	5.9	175700	966	124874
Delaware County	Pennsylvania	576388	573849	-442	-2539	38.9	76238	6.2	247900	1109	224746
Erie County	Pennsylvania	270427	269011	-449	-1416	39.7	52863	6.0	138500	758	121613
Fayette County	Pennsylvania	128393	126931	-411	-1462	45.1	49075	5.8	106200	684	63820
Franklin County	Pennsylvania	155874	156289	-58	415	41.7	63420	6.1	186300	905	65808
Lackawanna County	Pennsylvania	215516	215663	-380	147	42.1	54064	6.0	154700	799	100576
Lancaster County	Pennsylvania	552597	553652	-387	1055	38.7	69588	6.2	218700	1050	212160
Lebanon County	Pennsylvania	143242	143493	-15	251	41.1	61632	6.0	176000	879	57970
Lehigh County	Pennsylvania	374504	375539	-53	1035	39.0	66214	6.1	215400	1105	146699
Luzerne County	Pennsylvania	325057	326053	-537	996	42.7	53194	6.0	129600	772	150235
Lycoming County	Pennsylvania	113980	113605	-208	-375	41.5	54906	5.9	161900	797	53533
Monroe County	Pennsylvania	168248	169273	-79	1025	43.3	68734	6.0	173800	1154	81648
Montgomery County	Pennsylvania	856947	860578	394	3631	41.3	93518	6.5	326200	1323	336189
Northampton County	Pennsylvania	312855	313628	-96	773	42.2	73088	6.2	223800	1106	123556
Mercer County	Pennsylvania	110333	109972	-319	-361	45.0	50529	6.0	123600	682	52303
Philadelphia County	Pennsylvania	1601005	1576251	-2792	-24754	34.6	49127	5.6	171600	1084	689121
Schuylkill County	Pennsylvania	142777	143264	-272	487	44.3	53703	6.2	106100	710	69965
Washington County	Pennsylvania	209157	209470	-192	313	44.5	65478	5.9	170800	781	96263
Westmoreland County	Pennsylvania	353998	353057	-665	-941	47.2	61398	6.1	157200	732	170765
York County	Pennsylvania	456389	458696	-49	2307	41.0	68940	6.3	183300	972	184896
Beaufort County	South Carolina	187691	191748	574	4057	46.2	71430	5.8	309600	1229	101059
Berkeley County	South Carolina	231568	236701	1707	5133	36.5	65443	6.0	197300	1164	86274
Charleston County	South Carolina	409418	413024	1183	3606	38.0	67182	5.5	334600	1228	191521
Kent County	Rhode Island	170323	170715	-40	392	43.8	75857	5.4	247700	1110	74526
Providence County	Rhode Island	660015	658221	-726	-1794	37.4	62323	5.1	248500	989	266624
Washington County	Rhode Island	129753	130592	-86	839	45.0	86970	5.9	359300	1115	64361
Aiken County	South Carolina	169032	170776	224	1744	41.1	53385	5.9	153700	840	77606
Anderson County	South Carolina	204032	206908	314	2876	40.7	53598	5.7	153600	791	89095
Dorchester County	South Carolina	161975	163327	435	1352	37.2	63501	6.0	213000	1134	61445
Florence County	South Carolina	136805	136504	-254	-301	39.2	49645	5.6	135000	783	61353
Greenville County	South Carolina	526980	533834	1446	6854	38.3	62422	5.9	197400	954	214785
Horry County	South Carolina	353498	365579	2469	12081	46.7	51570	5.0	187800	975	210354
Lexington County	South Carolina	294891	300137	900	5246	39.1	62740	6.0	163200	921	126241
Pickens County	South Carolina	131602	132229	198	627	36.4	51032	5.7	159200	786	54939
Richland County	South Carolina	416527	418307	380	1780	33.7	54441	5.8	167500	998	175052
Spartanburg County	South Carolina	329364	335864	1367	6500	38.0	53757	5.6	153000	825	131725
Sumter County	South Carolina	105417	104758	-139	-659	36.5	46570	5.6	119800	809	48383
York County	South Carolina	283899	288595	1809	4696	38.9	68555	5.9	218400	1011	109967
Minnehaha County	South Dakota	197511	199685	297	2174	35.1	63699	5.8	201500	814	83607
Pennington County	South Dakota	109475	111806	253	2331	38.8	58278	5.7	197200	859	49218
Blount County	Tennessee	135566	137605	286	2039	43.9	60301	5.8	192800	828	58320
Bradley County	Tennessee	108741	110162	121	1421	39.7	51872	5.5	167800	796	44149
Davidson County	Tennessee	715486	703953	-398	-11533	34.4	62515	5.2	267400	1172	319739
Hamilton County	Tennessee	366991	369135	784	2144	39.7	56606	5.7	191400	913	163605
Knox County	Tennessee	480126	486677	1155	6551	37.4	59250	5.7	194200	933	207611
Montgomery County	Tennessee	221160	227900	1091	6740	31.0	60878	5.8	175000	972	82742
Rutherford County	Tennessee	343128	352182	1642	9054	33.6	68718	5.9	234700	1117	122071
Shelby County	Tennessee	928644	924454	-1100	-4190	35.7	52092	5.6	158700	957	406026
Sullivan County	Tennessee	158092	159265	-71	1173	45.3	47438	5.8	145300	679	75518
Sumner County	Tennessee	197272	200557	991	3285	39.6	69878	6.1	256000	1044	73422
Washington County	Tennessee	133080	134236	79	1156	40.1	48923	5.4	167400	776	60778
Williamson County	Tennessee	249424	255735	1698	6311	39.3	111196	7.6	471300	1596	84582
Wilson County	Tennessee	148564	151917	827	3353	40.2	78962	6.4	283200	1100	54867
Bell County	Texas	371981	379617	1334	7636	31.3	54987	5.2	153500	946	142110
Bexar County	Texas	2014052	2028236	4728	14184	33.8	58288	5.4	171200	1048	699646
Brazoria County	Texas	373368	379689	1337	6321	36.0	83325	5.8	213100	1161	139462
Brazos County	Texas	234480	237032	631	2552	26.8	50289	5.1	217700	966	91831
Cameron County	Texas	421191	423029	174	1838	31.7	41200	4.9	89700	746	152544
Collin County	Texas	1073149	1109462	8684	36313	37.0	100541	6.6	337200	1428	376186
Comal County	Texas	163573	174986	2072	11413	42.1	80781	5.9	293600	1192	60661
Denton County	Texas	913900	941647	7478	27747	35.8	90354	6.1	297100	1269	318269
Ector County	Texas	165467	161091	296	-4376	30.6	63096	5.2	147900	1073	59155
Ellis County	Texas	194272	202678	1817	8406	36.4	79834	6.1	214500	1104	63684
El Paso County	Texas	866093	867947	436	1854	32.4	48292	5.4	126500	855	299067
Dallas County	Texas	2610957	2586050	-2582	-24907	33.5	61870	5.0	193900	1159	1027813
Fort Bend County	Texas	828632	858527	5853	29895	36.5	100189	6.8	277600	1474	260936
Galveston County	Texas	351458	355062	776	3604	37.7	74633	5.6	212600	1106	148527
Grayson County	Texas	136014	139336	471	3322	39.4	58296	5.5	152400	909	56749
Gregg County	Texas	124175	124201	-64	26	35.6	52027	5.3	144300	872	52256
Guadalupe County	Texas	173541	177036	835	3495	37.0	75774	6.0	207700	1150	59964
Hidalgo County	Texas	872204	880356	1423	8152	29.4	41846	4.9	90000	753	281380
Harris County	Texas	4732491	4728030	1346	-4461	33.7	63022	5.3	189400	1115	1795219
Hays County	Texas	243809	255397	2742	11588	32.5	68724	5.3	258000	1168	81696
Jefferson County	Texas	255979	253704	-547	-2275	36.5	50840	5.4	120300	869	108947
Johnson County	Texas	180733	187280	806	6547	36.9	65311	5.4	168500	1047	62881
Kaufman County	Texas	146986	157768	1676	10782	35.3	72179	6.0	195400	1087	42292
Lubbock County	Texas	311419	314451	780	3032	30.9	53425	5.2	149200	946	129032
McLennan County	Texas	261023	263115	444	2092	33.6	50210	5.4	152700	886	102300
Midland County	Texas	170221	167969	238	-2252	31.8	83217	5.4	233200	1244	62327
Montgomery County	Texas	624938	648886	4495	23948	37.2	83274	6.0	248100	1231	223599
Nueces County	Texas	353090	353079	-88	-11	35.7	56784	5.0	148100	1048	150133
Parker County	Texas	149432	156764	1210	7332	39.8	84189	6.1	236300	1049	50780
Potter County	Texas	118173	116547	-352	-1626	34.1	43652	5.0	97000	825	50174
Randall County	Texas	141231	143854	478	2623	36.0	68186	5.6	174100	947	55057
Tarrant County	Texas	2114709	2126477	4069	11768	34.6	70306	5.5	209600	1142	780381
Taylor County	Texas	143383	143326	175	-57	32.6	55568	5.3	137600	921	57761
Rockwall County	Texas	109090	116381	1271	7291	37.6	105956	7.2	283000	1472	35670
Smith County	Texas	234063	237186	584	3123	36.9	59450	5.4	164200	955	91122
Tom Green County	Texas	120105	119411	102	-694	34.3	57670	5.2	149700	892	48785
Travis County	Texas	1296100	1305154	5912	9054	34.5	80668	4.9	347700	1348	530125
Webb County	Texas	267234	267945	120	711	28.9	50296	5.1	135000	851	84553
Wichita County	Texas	129546	130069	196	523	34.6	49710	5.4	103200	822	56064
Williamson County	Texas	615266	643026	6249	27760	36.6	90834	6.0	282700	1368	199061
Cache County	Utah	133527	137417	373	3890	25.4	60530	6.4	256400	842	42311
Davis County	Utah	363492	367285	813	3793	31.3	87570	7.4	320100	1167	110622
Salt Lake County	Utah	1186236	1186421	998	185	33.0	77128	6.3	336100	1176	404550
Utah County	Utah	663143	684986	3744	21843	25.0	77057	6.8	336200	1102	180088
Washington County	Utah	181924	191226	1645	9302	37.7	61747	5.6	306900	1099	71482
Weber County	Utah	262828	267066	605	4238	32.9	71275	6.5	249100	958	93165
Chittenden County	Vermont	168289	168865	-34	576	36.5	76316	5.4	314200	1293	70460
Albemarle County	Virginia	112496	113535	101	1039	39.4	84643	6.3	376000	1349	46235
Arlington County	Virginia	238766	232965	123	-5801	34.8	122604	4.0	731700	2005	116248
Chesterfield County	Virginia	365566	370688	1018	5122	39.0	84645	6.9	252600	1266	132606
Fairfax County	Virginia	1148472	1139720	-1837	-8752	38.1	127866	6.6	576700	1898	415149
Hanover County	Virginia	110102	111603	123	1501	42.7	91444	7.0	288800	1215	41879
Henrico County	Virginia	334298	333554	-91	-744	39.1	72295	6.2	253900	1192	138225
Loudoun County	Virginia	422597	427592	1638	4995	36.5	147111	7.4	534600	1913	136398
Prince William County	Virginia	482738	484472	534	1734	35.4	107707	7.0	390500	1738	150283
Spotsylvania County	Virginia	140475	143676	443	3201	38.5	90913	6.9	289200	1462	48522
Stafford County	Virginia	157604	160877	677	3273	35.7	112247	7.7	356000	1559	50272
Alexandria city	Virginia	159097	154706	-370	-4391	36.8	102227	4.2	572700	1774	76361
Chesapeake city	Virginia	249679	251269	257	1590	37.0	81261	6.6	286000	1300	91707
Richmond city	Virginia	226670	226604	60	-66	34.1	51421	5.0	244200	1070	100930
Virginia Beach city	Virginia	459373	457672	-97	-1701	36.4	78136	6.1	287400	1380	185735
Benton County	Washington	207230	210025	357	2795	36.0	72046	5.9	255000	1027	77486
Clark County	Washington	505013	511404	1702	6391	38.6	77184	5.8	355000	1328	186317
Hampton city	Virginia	137131	137746	-17	615	36.3	57041	5.7	188600	1115	60145
Newport News city	Virginia	185916	184587	-331	-1329	33.8	54511	5.4	194700	1075	77851
Norfolk city	Virginia	237591	235089	-414	-2502	30.8	53026	5.3	215800	1077	98142
Cowlitz County	Washington	110924	111524	194	600	41.0	58791	5.7	245500	895	44970
King County	Washington	2272571	2252305	2896	-20266	37.0	99158	5.1	601100	1695	952344
Kitsap County	Washington	275660	274314	49	-1346	39.2	78969	5.9	362700	1349	113730
Pierce County	Washington	922828	925708	1698	2880	36.2	76438	5.7	336600	1338	351346
Skagit County	Washington	129852	130696	329	844	41.6	71021	5.5	341600	1145	54317
Snohomish County	Washington	829331	833540	1374	4209	38.0	89273	5.7	440100	1515	314090
Spokane County	Washington	540700	546040	1361	5340	37.8	60101	5.9	245400	950	219964
Thurston County	Washington	295729	297977	936	2248	39.1	75867	5.8	315600	1275	118035
Whatcom County	Washington	227304	228831	457	1527	37.5	65420	5.3	369000	1119	98000
Yakima County	Washington	256533	256035	-195	-498	32.9	54917	5.5	191400	868	89354
Berkeley County	West Virginia	122654	126069	578	3415	38.9	65286	5.9	187400	1029	49466
Kanawha County	West Virginia	180048	177952	-697	-2096	43.6	47122	5.7	115300	749	92339
Monongalia County	West Virginia	105916	106387	94	471	32.2	54198	5.5	212300	845	45047
Brown County	Wisconsin	268741	269591	1	850	37.5	64728	5.6	181300	820	110414
Dane County	Wisconsin	562306	563951	802	1645	35.2	75179	5.5	277000	1118	236202
Eau Claire County	Wisconsin	105818	106452	108	634	34.9	62508	5.9	180000	818	44419
Fond du Lac County	Wisconsin	104076	104362	-78	286	41.7	64147	5.9	162600	786	45338
Kenosha County	Wisconsin	169073	168732	-78	-341	38.7	66595	5.4	188400	939	70755
La Crosse County	Wisconsin	120852	120433	68	-419	36.3	60307	5.7	184500	854	50680
Marathon County	Wisconsin	137954	137648	-59	-306	40.8	63029	5.9	161500	786	59633
Milwaukee County	Wisconsin	938149	928059	-1340	-10090	35.0	52260	5.1	164200	889	419310
Outagamie County	Wisconsin	190832	191545	127	713	38.4	68441	5.8	176900	816	77529
Racine County	Wisconsin	197440	196896	-287	-544	40.1	62556	5.7	187700	874	82977
Rock County	Wisconsin	163643	164381	-44	738	39.8	59519	5.8	156800	860	69278
Sheboygan County	Wisconsin	117937	117747	-97	-190	41.3	62101	5.8	165400	744	51249
Walworth County	Wisconsin	106499	106799	21	300	40.4	66034	5.8	212900	899	52595
Washington County	Wisconsin	136732	137175	-29	443	43.2	80839	6.0	248000	925	57155
Waukesha County	Wisconsin	407148	408756	170	1608	43.1	88985	6.3	293500	1078	166703
Winnebago County	Wisconsin	171646	171623	-84	-23	38.3	59947	5.6	158400	784	76023
